,time,C position,C speed,C current max,F position,F speed,F current,F voltage err,F temp err,F motion,F overload,F backdrive,F parameter,F saturation,F fatal err
0,3.815898,175.00065973445726,70,10,0.0,0,0.0,0,0,False,False,False,False,False,False
1,4.004264,190.92301392881996,70,10,21.5,0,0.0,0,0,False,False,False,False,False,False
2,4.166845,199.88602541474518,70,10,21.5,0,0.0,0,0,False,False,False,False,False,False
3,4.335175,208.98183118977713,70,10,21.5,0,0.0,0,0,False,False,False,False,False,False
4,4.493735,217.51929160872155,70,10,34.1,20,25.700000000000003,0,0,False,False,False,False,False,False
5,4.666214,226.63595156076806,70,10,35.1,65,2.5,0,0,False,False,False,False,False,False
6,4.826756,235.18284949967355,70,10,40.0,65,3.8000000000000003,0,0,False,False,False,True,False,False
7,4.989659,243.24645795622087,70,10,45.2,65,3.8000000000000003,0,0,False,False,False,True,False,False
8,5.163242,251.97276542330508,70,10,50.400000000000006,65,3.8000000000000003,0,0,False,False,False,True,False,False
9,5.330318,260.2106255880552,70,10,55.800000000000004,65,3.9000000000000004,0,0,False,False,False,True,False,False
10,5.498894,268.1226371757888,70,10,61.1,65,3.9000000000000004,0,0,False,False,False,True,False,False
11,5.660307,275.54705368409213,70,10,66.3,65,3.9000000000000004,0,0,False,False,False,False,False,False
12,5.829638,282.93958111510614,70,10,45.800000000000004,65,4.0,0,0,False,False,False,False,False,False
13,5.996952,290.05908912515565,70,10,50.900000000000006,65,4.0,0,0,False,False,False,False,False,False
14,6.165723,296.8849825003541,70,10,81.60000000000001,65,4.0,0,0,False,False,False,False,False,False
15,6.333845,303.3329555391404,70,10,86.10000000000001,65,4.1000000000000005,0,0,False,False,False,False,False,False
16,6.497111,309.32622679854217,70,10,91.9,65,4.1000000000000005,0,0,False,False,False,False,False,False
17,6.663492,314.95428848643724,70,10,96.9,65,4.2,0,0,False,False,False,False,False,False
18,6.824348,320.121372265583,70,10,102.0,65,4.2,0,0,False,False,False,False,False,False
19,6.990529,324.9749975740588,70,10,107.30000000000001,65,4.2,0,0,False,False,False,False,False,False
20,7.155719,329.4530267660604,70,10,112.4,65,4.3,0,0,False,False,False,False,False,False
21,7.320551,333.52756629379905,70,10,117.5,65,4.3,0,0,False,False,False,False,False,False
22,7.484943,337.1528044600384,70,10,122.60000000000001,65,4.3,0,0,False,False,False,False,False,False
23,7.652186,340.3755938972405,70,10,76.4,65,4.4,0,0,False,False,False,False,False,False
24,7.821383,343.1448635285465,70,10,132.8,65,4.4,0,0,False,False,False,False,False,False
25,7.993028,345.53624541859494,70,10,137.70000000000002,65,4.4,0,0,False,False,False,False,False,False
26,8.161613,347.3834022336549,70,10,142.70000000000002,65,4.4,0,0,False,False,False,False,False,False
27,8.32417,348.70227402309627,70,10,148.3,65,4.4,0,0,False,False,False,False,False,False
28,8.488237,349.56576125772597,70,10,153.5,65,4.5,0,0,False,False,False,False,False,False
29,8.64886,349.9653838100685,70,10,158.60000000000002,65,4.5,0,0,False,False,False,False,False,False
30,8.818943,349.90341294114245,70,10,164.10000000000002,65,4.5,0,0,False,False,False,False,False,False
31,8.985436,349.3650872360711,70,10,169.20000000000002,65,4.5,0,0,False,False,False,False,False,False
32,9.151145,348.3496044469015,70,10,174.3,65,4.5,0,0,False,False,False,False,False,False
33,9.314552,346.8838468717927,70,10,179.20000000000002,65,4.5,0,0,False,False,False,False,False,False
34,9.47649,344.9781680236929,70,10,184.3,65,4.5,0,0,False,False,False,False,False,False
35,9.640391,342.608613156994,70,10,189.20000000000002,65,4.6000000000000005,0,0,False,False,False,False,False,False
36,9.801358,339.8491498797865,70,10,194.4,65,4.6000000000000005,0,0,False,False,False,False,False,False
37,9.969837,336.50846489237574,70,10,199.5,65,4.6000000000000005,0,0,False,False,False,False,False,False
38,10.142362,332.6837763248256,70,10,204.70000000000002,65,4.6000000000000005,0,0,False,False,False,False,False,False
39,10.308997,328.44011730126454,70,10,209.70000000000002,65,4.6000000000000005,0,0,False,False,False,False,False,False
40,10.475848,323.82980138075635,70,10,214.8,65,4.7,0,0,False,False,False,False,False,False
41,10.635841,318.9976534211239,70,10,220.4,65,4.7,0,0,False,False,False,False,False,False
42,10.799614,313.7019909016259,70,10,225.4,65,4.7,0,0,False,False,False,False,False,False
43,10.960719,308.1346499171427,70,10,230.4,65,4.7,0,0,False,False,False,False,False,False
44,11.131666,301.8757702904184,70,10,235.4,65,4.800000000000001,0,0,False,False,False,False,False,False
45,11.293935,295.4933259408089,70,10,240.4,65,4.800000000000001,0,0,False,False,False,False,False,False
46,11.460672,288.7161876656226,70,10,245.60000000000002,65,4.9,0,0,False,False,False,False,False,False
47,11.623908,281.73363117452715,70,10,250.70000000000002,65,4.9,0,0,False,False,False,False,False,False
48,11.784853,274.5757381498777,70,10,255.9,65,4.9,0,0,False,False,False,False,False,False
49,11.954908,266.82114378695826,70,10,261.0,65,4.9,0,0,False,False,False,False,False,False
50,12.122714,258.90215031892683,70,10,266.0,65,5.0,0,0,False,False,False,False,False,False
51,12.289264,250.6869785243369,70,10,270.90000000000003,65,5.1000000000000005,0,0,False,False,False,False,False,False
52,12.453986,242.34442438986025,70,10,275.90000000000003,65,5.1000000000000005,0,0,False,False,False,False,False,False
53,12.623671,233.76130921426537,70,10,280.8,65,5.2,0,0,False,False,False,False,False,False
54,12.788189,225.06899818212258,70,10,285.5,65,5.2,0,0,False,False,False,False,False,False
55,12.951611,216.41584923918185,70,10,290.8,65,5.2,0,0,False,False,False,False,False,False
56,13.112649,207.8122513624145,70,10,295.90000000000003,65,5.2,0,0,False,False,False,False,False,False
57,13.263299,199.32614121239772,70,10,300.8,65,5.300000000000001,0,0,False,False,False,False,False,False
58,13.414074,191.11035857311825,70,10,306.3,65,5.300000000000001,0,0,False,False,False,False,False,False
59,13.566667,182.75351924665563,70,10,311.3,65,5.300000000000001,0,0,False,False,False,False,False,False
60,13.723735,174.4107482873966,70,10,316.40000000000003,65,5.300000000000001,0,0,False,False,False,False,False,False
61,13.889036,165.36944589805688,70,10,321.1,65,5.300000000000001,0,0,False,False,False,False,False,False
62,14.052837,156.29893431728925,70,10,325.6,35,3.7,0,0,False,False,False,False,False,False
63,14.218272,147.37171541015286,70,10,327.0,0,2.9000000000000004,0,0,False,False,False,False,False,False
64,14.388485,138.16975312827122,70,10,327.1,10,1.0,0,0,False,False,False,False,False,False
65,14.552949,129.28979306085856,70,10,327.6,55,1.3,0,0,False,False,False,False,False,False
66,14.71748,120.70947096343549,70,10,324.90000000000003,35,2.0,0,0,False,False,False,False,False,False
67,14.880487,112.17089299271079,70,10,322.40000000000003,55,4.1000000000000005,0,0,False,False,False,False,False,False
68,15.04066,104.08256900395712,70,10,319.1,35,2.7,0,0,False,False,False,False,False,False
69,15.203114,96.06575615584764,70,10,315.20000000000005,25,4.0,0,0,False,False,False,False,False,False
70,15.368427,88.01011921491389,70,10,312.6,65,5.6000000000000005,0,0,False,False,False,False,False,False
71,15.528046,80.48550377521667,70,10,308.3,40,3.7,0,0,False,False,False,False,False,False
72,15.687204,73.27537237817788,70,10,304.1,55,5.2,0,0,False,False,False,False,False,False
73,15.849506,66.0952618832419,70,10,300.7,65,5.2,0,0,False,False,False,False,False,False
74,16.01279,59.303130090785984,70,10,296.40000000000003,25,4.5,0,0,False,False,False,False,False,False
75,16.174512,52.71317008061385,70,10,292.40000000000003,65,6.1000000000000005,0,0,False,False,False,False,False,False
76,16.344666,46.26723094524425,70,10,288.1,65,4.800000000000001,0,0,False,False,False,False,False,False
77,16.514688,40.10587997085861,70,10,283.5,55,4.9,0,0,False,False,False,False,False,False
78,16.682867,34.398278709133024,70,10,279.3,65,5.7,0,0,False,False,False,False,False,False
79,16.841637,29.345701361903537,70,10,275.1,55,5.0,0,0,False,False,False,False,False,False
80,17.001042,24.651789265171715,70,10,270.3,65,6.0,0,0,False,False,False,False,False,False
81,17.16688,20.279393884400037,70,10,265.90000000000003,65,5.9,0,0,False,False,False,False,False,False
82,17.328767,16.262382833876387,70,10,261.1,65,5.7,0,0,False,False,False,False,False,False
83,17.49276,12.6750676072636,70,10,256.1,65,5.6000000000000005,0,0,False,False,False,False,False,False
84,17.65765,9.5138629188572,70,10,251.20000000000002,65,5.4,0,0,False,False,False,False,False,False
85,17.826498,6.740495395685286,70,10,246.3,65,5.5,0,0,False,False,False,False,False,False
86,17.993511,4.439567402225322,70,10,241.70000000000002,50,4.1000000000000005,0,0,False,False,False,True,False,False
87,18.160455,2.631109211929953,70,10,238.3,35,2.7,0,0,False,False,False,True,False,False
88,18.335872,1.2251988204915847,70,10,236.3,35,2.5,0,0,False,False,False,True,False,False
89,18.494976,0.40797925720477224,70,10,234.5,0,2.5,0,0,False,False,False,True,False,False
90,18.655862,0.026630750957508553,70,10,234.5,10,1.6,0,0,False,False,False,False,False,False
91,18.819875,0.0978513479605283,70,10,233.8,25,1.9000000000000001,0,0,False,False,False,False,False,False
92,18.979568,0.6159244875323395,70,10,127.7,65,4.800000000000001,0,0,False,False,False,False,False,False
93,19.143922,1.6084731998572863,70,10,225.4,65,5.1000000000000005,0,0,False,False,False,False,False,False
